phase_file,name,status,evaluated,skipped,elapsed_seconds,normalization_mode,frequency_selection,modes,ridge,freq_weight,multiband_shrinkage,huber_delta,huber_iters,include_trend,outlier_reject_iters,outlier_reject_sigma,outlier_reject_max_fraction,lambda_high,low_freq_period_days,lambda_step,max_outer_iter,preferred_top_k,spectral_top_k,num_peaks,power_cum,rmse,mae,ndvi_rmse,ndvi_mae,ndwi_rmse,ndwi_mae,ndmi_rmse,ndmi_mae,ndsi_rmse,ndsi_mae,nbr_rmse,nbr_mae,evi_rmse,evi_mae
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw86_s0p55_lh0p15,ok,19988,12,90.071650208,reflectance,all,200,0.04,86.0,0.55,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.7360687742411,98.41779861929659,0.06354586452638245,0.031604172363796035,0.09698831555615835,0.028714191547102325,0.07812419675528223,0.03638825914845986,0.07837470226716987,0.0371844849782135,0.08844450733899703,0.03802394772301374,0.7409179011424953,0.03653793090253206
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw86_s0p625_lh0p15,ok,19988,12,91.12429374999999,reflectance,all,200,0.04,86.0,0.625,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.73756276117575,98.4420618803036,0.06368553598080516,0.03163588384019796,0.10300627156065911,0.02879105922425674,0.07777827361270705,0.036372461698491905,0.07819063859671925,0.037191600791848904,0.08762682352130728,0.03801474107380632,0.741018067258063,0.03656428486871816
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw88_s0p55_lh0p15,ok,19988,12,93.52927604199999,reflectance,all,200,0.04,88.0,0.55,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.73931157797347,98.42390009930446,0.06305700686570316,0.03160437612547798,0.09822048305151176,0.028724885411758192,0.07346959453079874,0.03632675836175613,0.07828461906153507,0.037178269407599905,0.07927769551378126,0.03791855188633532,0.7409353541512876,0.036557758808165856
phase53_shrinkage_neighborhood_20k_results.csv,p53_maebasin_s0p625,ok,19988,12,95.80443775000003,reflectance,all,200,0.04,88.0,0.625,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.73964607677598,98.44723413367733,0.06320240498143803,0.03163525562706151,0.10444848265027239,0.028802662304239904,0.07331878738843173,0.036312862419079564,0.07810441312030446,0.03718456161812266,0.07895644822604099,0.037913250492694145,0.7410364195741829,0.03658357711301325
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw88_s0p625_lh0p15,ok,19988,12,93.06375783300001,reflectance,all,200,0.04,88.0,0.625,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.73964607677598,98.44723413367733,0.06320240498143803,0.03163525562706151,0.10444848265027239,0.028802662304239904,0.07331878738843173,0.036312862419079564,0.07810441312030446,0.03718456161812266,0.07895644822604099,0.037913250492694145,0.7410364195741829,0.03658357711301325
phase51_norm_basin_20k_results.csv,p51_centered_m208_r0p05_fw64_s0p75_h0p12_lh0p15,ok,19988,12,100.88000045900003,centered_reflectance,all,208,0.05,64.0,0.75,0.12,5,True,0,2.5,,0.15,60.0,,,4,,,,220.7441790381477,96.10683034699404,0.06040423277734157,0.03083601151927356,0.07396091734948296,0.02785306315699041,0.07661471650138361,0.035582183347096966,0.07680379092349342,0.03541839574750941,0.1250750027713737,0.03745874880474264,0.7473559579695432,0.03664164313136434
phase53_shrinkage_neighborhood_20k_results.csv,p53_maebasin_s0p5,ok,19988,12,99.23390341599998,reflectance,all,200,0.04,88.0,0.5,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.74803479985275,98.41335975377135,0.06297458854582007,0.03158683524350223,0.09466428663149522,0.028680269299933003,0.07359362249752091,0.03634079290370353,0.07841897681945931,0.03717674407973369,0.07954186883357295,0.037928729525245,0.7408684035353671,0.036544153831628685
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw90_s0p55_lh0p15,ok,19988,12,91.92207562499993,reflectance,all,200,0.04,90.0,0.55,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.74833678676197,98.43221721600163,0.06281903923035291,0.03161132852918689,0.09950027134797187,0.02873713764381134,0.07149611721673678,0.03630061519097033,0.07819921619921266,0.03717278251581941,0.0762328475867993,0.03788411976290957,0.7409544044620515,0.03657822312465173
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw90_s0p625_lh0p15,ok,19988,12,92.48623366699996,reflectance,all,200,0.04,90.0,0.625,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.7489593346311,98.45515197902063,0.06296821231374942,0.031641743844495154,0.10594683713182108,0.028815914076345733,0.0714075923731746,0.03628707224945326,0.07802300251994172,0.03717900487466955,0.07602359960505417,0.037879248931558675,0.7410563754821787,0.03660370411742305
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw86_s0p7_lh0p15,ok,19988,12,91.73818858400003,reflectance,all,200,0.04,86.0,0.7,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.75229876481606,98.47264735909876,0.06384738601446673,0.031673758075030436,0.1103198896476806,0.02888366463255798,0.07748697176007616,0.03636315779590106,0.07802972694543168,0.037206944052846476,0.08693687361269022,0.038015925202063774,0.7411188073899849,0.03659781930571097
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw88_s0p7_lh0p15,ok,19988,12,91.68613729200001,reflectance,all,200,0.04,88.0,0.7,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.75420771375508,98.47688253464744,0.06337066840555368,0.03167246341279292,0.11203082951414672,0.028895720494737986,0.0732035013261659,0.03630512497164212,0.07794701765010546,0.037199087825223597,0.07870538411030319,0.037918232260912406,0.7411380657023497,0.03661549553876833
phase56b_lowridge_retry_20k_results.csv,p56b_lowridge_fw90_s0p7_lh0p15,ok,19988,12,91.91680420900002,reflectance,all,200,0.04,90.0,0.7,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.76274169036878,98.48408663605083,0.06314068144973202,0.03167805094874945,0.11380984718029256,0.02890962147114748,0.0713494205090918,0.036279880126884115,0.07786883568108618,0.037192509558782186,0.07587472310379635,0.037884959358881025,0.7411589266995865,0.03663398614923374
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw88_s0p75_h0p08_lh0p15,ok,19988,12,97.63200758300002,reflectance,all,200,0.04,88.0,0.75,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.77030891187707,98.5003446634347,0.06349423941579002,0.031699355448923994,0.1180497638886163,0.02896728679893511,0.07314370462429397,0.036303566128786637,0.07785330829509875,0.037211135969600254,0.07856975710071334,0.03792557386727786,0.7412060746432998,0.036640161200509676
phase53_shrinkage_neighborhood_20k_results.csv,p53_maebasin_s0p75,ok,19988,12,95.87002912499997,reflectance,all,200,0.04,88.0,0.75,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.77030891187707,98.5003446634347,0.06349423941579002,0.03169935544892399,0.1180497638886163,0.02896728679893511,0.07314370462429395,0.036303566128786637,0.07785330829509875,0.037211135969600254,0.07856975710071334,0.03792557386727786,0.7412060746432998,0.036640161200509676
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw80_s0p75_h0p08_lh0p3,ok,19988,12,103.44651924999994,reflectance,all,200,0.04,80.0,0.75,0.08,5,True,0,2.5,,0.3,60.0,,,4,,,,220.77435752720015,98.47733139690031,0.07822605222727994,0.03187942083502851,0.11124509037590212,0.02892312781947364,0.48798645297937576,0.03947289015843142,0.0781487504739455,0.03724072401196715,0.12670976203339349,0.038346953330304905,0.7411570318710555,0.03656933858602327
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw84_s0p75_h0p08_lh0p15,ok,19988,12,98.77945062499998,reflectance,all,200,0.04,84.0,0.75,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.77444136096665,98.49506885292585,0.06502553879644632,0.031716018872590235,0.11425924144656999,0.028942839239013477,0.08998208355660202,0.03650480818408983,0.07801943684309483,0.03722896819214541,0.12381653187350204,0.038372659790296755,0.7411680165475872,0.036606453410577625
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw82_s0p75_h0p08_lh0p15,ok,19988,12,100.321080833,reflectance,all,200,0.04,82.0,0.75,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.78724284847902,98.49610709466099,0.06793309116640069,0.03176089474733494,0.11248323864162682,0.028934446824314702,0.16188310402018125,0.037115847994680505,0.07810979607256856,0.03724023737494631,1.7236916492903462,0.04982111575613559,0.741151563567851,0.03659058976006433
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw80_s0p75_h0p08_lh0p2,ok,19988,12,111.98597841600008,reflectance,all,200,0.04,80.0,0.75,0.08,5,True,0,2.5,,0.2,60.0,,,4,,,,220.79777445521745,98.4929666963285,0.07982274350554061,0.031903888162784916,0.11094279648966189,0.02892700003820945,0.3731332655282793,0.03865625407516499,0.07818637605811549,0.03724889251776209,0.12123369615781442,0.038305995533970794,0.7411436348507394,0.03657337928731587
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw80_s0p75_h0p08_lh0p15,ok,19988,12,97.54303924999999,reflectance,all,200,0.04,80.0,0.75,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.80956781731462,98.50082604682964,0.08071064351645636,0.031916915719841864,0.11079159961835856,0.028928951241173784,0.33451849972098274,0.038381066948904405,0.07820538025870201,0.03725299240594747,0.11879994585929224,0.0382878077819913,0.7411369273928995,0.03657541044978533
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw80_s0p75_h0p08_lh0p1,ok,19988,12,107.048683708,reflectance,all,200,0.04,80.0,0.75,0.08,5,True,0,2.5,,0.1,60.0,,,4,,,,220.8214182110824,98.50871105404218,0.08166628034173401,0.031930534151209396,0.11064037110082181,0.028930911252994834,0.30356011544981865,0.0381600874493278,0.07822451382689564,0.03725710526963082,0.11654273308133631,0.03827096068911043,0.7411302139456396,0.0365774490863245
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw80_s0p75_h0p08_lh0p08,ok,19988,12,101.75930849999997,reflectance,all,200,0.04,80.0,0.75,0.08,5,True,0,2.5,,0.08,60.0,,,4,,,,220.82617439447688,98.51187194695706,0.08206903887528787,0.0319361581320994,0.11057987114956462,0.02893169752254048,0.2928381137808243,0.038083462378071004,0.07823220377100674,0.03725875350339012,0.11568545675298879,0.038264570218050804,0.741127526885535,0.03657826618719719
phase53_shrinkage_neighborhood_20k_results.csv,p53_maebasin_s0p875,ok,19988,12,95.7484958340001,reflectance,all,200,0.04,88.0,0.875,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.82795483773526,98.56739911410823,0.06383932827463007,0.031773789948036354,0.13790504203912696,0.02918506560654756,0.07304639816736544,0.03630674804170983,0.07765312878215122,0.03725299302343202,0.07832186683839343,0.037954878979757606,0.7413767240587869,0.03670537478555935
phase38_m200_ridge_huber_20k_results.csv,p38_reflectance_m200_r0p04_fw80_s0p75_h0p08_hi5,ok,19988,12,91.55221499999999,reflectance,all,200,0.04,80.0,0.75,0.08,5,True,0,2.5,,,,,,,,,,220.8357141404374,98.5182052867541,0.08291237070869821,0.03194772920295485,0.11045885710834347,0.028933276467198156,0.27369540726807123,0.03794651724733663,0.07824764670323023,0.037262054726558975,0.11404366439854036,0.038252348705519044,0.7411221498762458,0.03657990460286326
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p035_fw80_s0p75_h0p08_lh0p15,ok,19988,12,99.05750966699999,reflectance,all,200,0.035,80.0,0.75,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.84744155447376,98.48195723561463,0.06319861363297749,0.031591862526505,0.10807720832541132,0.029003264987843818,0.07202186735814796,0.036164153453073694,0.07860130746300184,0.037324935124343435,0.07432788123600241,0.03766319392644175,0.7410901842305079,0.03649822356529215
phase53_shrinkage_neighborhood_20k_results.csv,p53_maebasin_s1p0,ok,19988,12,95.96459354100011,reflectance,all,200,0.04,88.0,1.0,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.90530214699484,98.64146298964239,0.06423236868045296,0.03185825381661512,0.16904601617422918,0.02948647879272094,0.0730160628108719,0.03632151821922066,0.07749477759773289,0.03730409833611118,0.07818262223118028,0.03799607374067558,0.7415480178676745,0.03677546917475489
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p035_fw80_s0p75_h0p06_lh0p15,ok,19988,12,93.784121792,reflectance,all,200,0.035,80.0,0.75,0.06,5,True,0,2.5,,0.15,60.0,,,4,,,,220.91464650613653,97.9777288467515,0.06406259813987149,0.03153036572283903,0.1071636447760523,0.028830559439722136,0.07326000004087874,0.03596960833131173,0.07823202328385162,0.03699358402740062,0.07485627227000168,0.037467456611948176,0.7415815462673074,0.03650473836720168
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p045_fw80_s0p75_h0p08_lh0p15,ok,19988,12,97.80186587500003,reflectance,all,200,0.045,80.0,0.75,0.08,5,True,0,2.5,,0.15,60.0,,,4,,,,220.93492423951136,98.58378107989942,0.06310387464193448,0.03170148613663108,0.11614410006159573,0.02895250235907602,0.07129925735050738,0.036280443927728924,0.07789531329860955,0.037216937226792146,0.07582399854047098,0.03790004354407919,0.7412312153280967,0.03667051638616013
phase38_m200_ridge_huber_20k_results.csv,p38_reflectance_m200_r0p04_fw80_s0p75_h0p10_hi5,ok,19988,12,86.19699075,reflectance,all,200,0.04,80.0,0.75,0.1,5,True,0,2.5,,,,,,,,,,220.94262330597476,98.93412547119394,8.262925411747954,0.09007865113874748,0.11070529567266461,0.029051705947325958,0.10508089299554506,0.036815545778134125,0.07854993898081088,0.037500248049553896,0.08821554085171053,0.038154228990213465,0.7407588911292329,0.03657622822866851
phase38_m200_ridge_huber_20k_results.csv,p38_reflectance_m200_r0p045_fw80_s0p75_h0p08_hi5,ok,19988,12,92.38852604199997,reflectance,all,200,0.045,80.0,0.75,0.08,5,True,0,2.5,,,,,,,,,,220.9559392215535,98.59847188907165,0.06311875681558363,0.03170803688376016,0.11580832429813917,0.028955469204855696,0.07139519492759983,0.03628875298510227,0.07792942806545226,0.0372245604776149,0.07596178738719166,0.037909329545138794,0.7412167199255862,0.03667416437636139
phase38_m200_ridge_huber_20k_results.csv,p38_reflectance_m200_r0p045_fw80_s0p75_h0p10_hi5,ok,19988,12,91.078675375,reflectance,all,200,0.045,80.0,0.75,0.1,5,True,0,2.5,,,,,,,,,,220.9791012994458,99.00405088960441,0.06373407064193187,0.03179967853006952,0.11594424306734848,0.02906625607173788,0.07462693327087222,0.03653588663979028,0.07822397298825719,0.0374629823867024,0.08090326973401,0.0381706886874725,0.7408510541795882,0.03667000849260634
phase48_low_ridge_high_penalty_20k_results.csv,p48_m200_r0p04_fw80_s0p75_h0p06_lh0p15,ok,19988,12,113.49637720800004,reflectance,all,200,0.04,80.0,0.75,0.06,5,True,0,2.5,,0.15,60.0,,,4,,,,221.0066265361371,98.015414683187,0.06710470923999715,0.0316458302691956,0.1105862974832499,0.028784123936316294,0.1319723698028158,0.03664034539609889,0.07785006274442621,0.036920621200312094,0.868441622926699,0.043526404281325606,0.741628021420709,0.036582888263902984
